Accident_ID,Date,Time,Weather,Road_Condition,Location,Latitude,Longitude,Severity,Vehicles_Involved,Cause
A0247,2025-12-14,19:20,Clear,Dry,Bus Stand Junction,9.367616,78.832708,Moderate,3,Distracted Driving
A0248,2024-05-27,10:45,Rainy,Wet,Kilakarai Main Road,9.233285,78.785808,Minor,2,Overtaking
A0249,2025-10-24,09:21,Clear,Dry,Kilakarai Main Road,9.229444,78.784714,Moderate,2,Distracted Driving
A0250,2025-09-11,09:43,Cloudy,Potholes,Ramanathapuram Junction,9.362587,78.837426,Moderate,3,Distracted Driving
A0251,2024-12-06,08:13,Clear,Potholes,East Coast Road,9.301389,78.902864,Moderate,2,Distracted Driving
A0252,2025-09-10,21:44,Cloudy,Dry,Market Road,9.363702,78.837044,Moderate,2,Speeding
A0253,2024-11-11,16:22,Clear,Dry,Market Road,9.364824,78.835469,Fatal,1,Distracted Driving
A0254,2024-07-27,19:20,Clear,Dry,Market Road,9.364911,78.834904,Minor,2,Drunk Driving
A0255,2025-08-16,16:37,Cloudy,Dry,Rameswaram Road,9.288073,79.310754,Moderate,2,Speeding
A0256,2025-12-02,15:41,Clear,Muddy,Kilakarai Main Road,9.231406,78.784925,Moderate,3,Distracted Driving
A0257,2024-12-26,07:50,Clear,Wet,Market Road,9.365442,78.834839,Moderate,4,Distracted Driving
A0258,2024-03-17,15:53,Windy,Wet,Ramanathapuram Junction,9.363035,78.840633,Moderate,2,Signal Violation
A0259,2024-01-10,05:09,Clear,Dry,Kilakarai Main Road,9.231751,78.783534,Fatal,3,Speeding
A0260,2024-01-07,17:01,Clear,Dry,Market Road,9.365949,78.837327,Moderate,3,Speeding
A0261,2025-12-15,01:52,Cloudy,Potholes,Rameswaram Road,9.285496,79.312815,Minor,1,Overtaking
A0262,2025-06-23,09:39,Clear,Dry,Paramakudi Highway,9.545006,78.590856,Severe,1,Signal Violation
A0263,2024-08-19,16:44,Clear,Potholes,Market Road,9.364655,78.833493,Fatal,5,Speeding
A0264,2025-01-21,06:24,Cloudy,Dry,Ramanathapuram Junction,9.361459,78.839572,Moderate,1,Speeding
A0265,2025-08-02,17:21,Windy,Under Construction,Bus Stand Junction,9.36789,78.832644,Minor,4,Overtaking
A0266,2024-03-17,15:02,Cloudy,Dry,Industrial Area Road,9.350958,78.822508,Moderate,3,Drunk Driving
A0267,2025-08-24,01:13,Clear,Potholes,Madurai Road Junction,9.364901,78.808183,Moderate,4,Vehicle Failure
A0268,2025-02-02,09:53,Cloudy,Dry,Industrial Area Road,9.349022,78.825071,Moderate,3,Distracted Driving
A0269,2024-02-24,15:22,Clear,Dry,Devipattinam Road,9.476709,78.867423,Severe,2,Speeding
A0270,2024-11-30,12:49,Clear,Dry,Industrial Area Road,9.351509,78.824135,Minor,2,Overtaking
A0271,2025-08-22,13:43,Cloudy,Dry,Bus Stand Junction,9.368754,78.832305,Moderate,3,Poor Road Condition
A0272,2025-12-29,09:24,Rainy,Wet,Devipattinam Road,9.478795,78.870162,Severe,1,Poor Road Condition
A0273,2024-04-14,11:17,Clear,Dry,Market Road,9.362093,78.835005,Minor,2,Distracted Driving
A0274,2024-04-05,06:35,Cloudy,Muddy,Ramanathapuram Junction,9.364766,78.839195,Minor,1,Vehicle Failure
A0275,2024-09-05,18:35,Cloudy,Dry,Devipattinam Road,9.478557,78.867094,Minor,1,Distracted Driving
A0276,2025-03-21,07:10,Clear,Dry,Market Road,9.36593,78.835966,Severe,2,Signal Violation
A0277,2025-04-13,17:12,Clear,Dry,Market Road,9.367552,78.836582,Moderate,2,Overtaking
A0278,2025-10-28,14:27,Windy,Dry,Madurai Road Junction,9.365506,78.809382,Moderate,4,Drunk Driving
A0279,2024-11-22,08:25,Clear,Wet,Madurai Road Junction,9.364269,78.809351,Minor,2,Distracted Driving
A0280,2025-02-06,09:50,Clear,Under Construction,Bus Stand Junction,9.368092,78.833369,Minor,5,Distracted Driving
A0281,2025-04-17,02:46,Windy,Dry,East Coast Road,9.300435,78.903113,Minor,3,Vehicle Failure
A0282,2025-10-10,18:08,Clear,Dry,Bus Stand Junction,9.368807,78.833511,Moderate,2,Speeding
A0283,2025-08-19,23:30,Clear,Dry,Market Road,9.367602,78.835588,Moderate,3,Overtaking
A0284,2025-07-03,18:51,Cloudy,Potholes,Madurai Road Junction,9.361943,78.808488,Severe,2,Speeding
A0285,2025-07-30,17:02,Windy,Wet,Paramakudi Highway,9.543194,78.589473,Severe,3,Poor Road Condition
A0286,2024-09-21,06:06,Clear,Wet,Bus Stand Junction,9.367528,78.836515,Moderate,3,Drunk Driving
A0287,2025-11-26,12:49,Cloudy,Dry,Madurai Road Junction,9.36549,78.809671,Minor,1,Distracted Driving
A0288,2024-04-28,21:05,Rainy,Wet,Bus Stand Junction,9.368744,78.830683,Moderate,3,Poor Road Condition
A0289,2025-12-14,15:28,Clear,Dry,Madurai Road Junction,9.365353,78.811156,Minor,3,Speeding
A0290,2024-06-17,17:43,Windy,Wet,Madurai Road Junction,9.362782,78.811716,Minor,2,Weather
A0291,2025-02-18,22:14,Cloudy,Dry,Bus Stand Junction,9.368008,78.833377,Moderate,2,Poor Road Condition
A0292,2025-02-02,14:27,Clear,Dry,Kilakarai Main Road,9.231949,78.788406,Severe,3,Speeding
A0293,2025-07-03,06:55,Clear,Dry,Industrial Area Road,9.350273,78.825372,Severe,2,Distracted Driving
A0294,2025-09-03,22:20,Clear,Dry,East Coast Road,9.299311,78.898725,Moderate,2,Speeding
A0295,2024-10-31,19:45,Foggy,Dry,Paramakudi Highway,9.547246,78.588716,Minor,2,Weather
A0296,2024-05-24,08:44,Clear,Dry,Devipattinam Road,9.478107,78.867284,Moderate,2,Speeding
A0297,2024-06-26,18:41,Cloudy,Dry,East Coast Road,9.300718,78.9005,Moderate,2,Speeding
A0298,2025-05-11,20:00,Clear,Potholes,Ramanathapuram Junction,9.365456,78.838735,Moderate,2,Overtaking
A0299,2025-03-30,13:53,Clear,Dry,Market Road,9.365395,78.834732,Moderate,3,Speeding
A0300,2024-06-21,08:18,Rainy,Potholes,Rameswaram Road,9.287334,79.312566,Moderate,2,Poor Road Condition
A0301,2025-01-10,19:52,Clear,Muddy,Rameswaram Road,9.289135,79.310617,Minor,2,Signal Violation
A0302,2025-10-31,06:53,Rainy,Under Construction,Bus Stand Junction,9.368804,78.836033,Moderate,2,Poor Road Condition
A0303,2024-08-30,20:07,Clear,Wet,Market Road,9.36642,78.839015,Severe,4,Weather
A0304,2024-07-30,07:08,Rainy,Wet,Bus Stand Junction,9.366339,78.832133,Minor,2,Weather
A0305,2025-06-10,10:17,Windy,Wet,Rameswaram Road,9.285332,79.314244,Fatal,5,Speeding
A0306,2025-11-02,23:55,Clear,Potholes,Ramanathapuram Junction,9.364882,78.839417,Severe,3,Distracted Driving
A0307,2025-10-09,15:36,Clear,Dry,Bus Stand Junction,9.36792,78.832312,Severe,3,Distracted Driving
A0308,2024-10-11,13:47,Cloudy,Potholes,Devipattinam Road,9.481669,78.868194,Moderate,2,Poor Road Condition
A0309,2025-10-12,18:29,Cloudy,Dry,Devipattinam Road,9.478164,78.869089,Moderate,2,Speeding
A0310,2024-10-01,19:31,Clear,Dry,Bus Stand Junction,9.368222,78.834336,Severe,1,Drunk Driving
A0311,2024-02-19,21:48,Clear,Wet,Madurai Road Junction,9.363814,78.810707,Fatal,1,Signal Violation
A0312,2025-03-14,14:00,Clear,Wet,Paramakudi Highway,9.548823,78.592018,Moderate,3,Speeding
A0313,2024-09-13,06:23,Clear,Wet,Rameswaram Road,9.29039,79.311233,Moderate,1,Poor Road Condition
A0314,2025-12-21,13:05,Clear,Dry,Kilakarai Main Road,9.229516,78.784811,Moderate,2,Speeding
A0315,2024-12-17,00:44,Rainy,Wet,Market Road,9.365884,78.837841,Severe,1,Speeding
A0316,2024-11-02,06:23,Clear,Muddy,Devipattinam Road,9.475461,78.870294,Fatal,1,Signal Violation
A0317,2024-01-09,05:36,Cloudy,Dry,Paramakudi Highway,9.545763,78.58936,Moderate,2,Distracted Driving
A0318,2024-08-10,17:28,Clear,Dry,Bus Stand Junction,9.365982,78.831518,Minor,2,Signal Violation
A0319,2024-09-10,10:08,Clear,Dry,Bus Stand Junction,9.368735,78.83411,Severe,2,Drunk Driving
A0320,2024-11-04,20:42,Clear,Wet,Ramanathapuram Junction,9.361965,78.837557,Severe,2,Speeding
A0321,2024-09-03,15:07,Clear,Dry,Kilakarai Main Road,9.230496,78.787504,Fatal,5,Drunk Driving
A0322,2025-08-05,07:55,Clear,Dry,Madurai Road Junction,9.364611,78.807745,Fatal,2,Speeding
A0323,2024-01-15,01:04,Clear,Dry,Devipattinam Road,9.477631,78.867591,Moderate,3,Speeding
A0324,2025-12-19,19:27,Clear,Wet,East Coast Road,9.295955,78.899919,Minor,1,Drunk Driving
A0325,2024-06-08,15:13,Clear,Dry,Devipattinam Road,9.477654,78.869044,Moderate,3,Poor Road Condition
A0326,2024-09-01,10:27,Clear,Dry,Devipattinam Road,9.480773,78.86969,Moderate,2,Distracted Driving
A0327,2024-06-28,18:42,Clear,Wet,Rameswaram Road,9.287597,79.31034,Severe,1,Weather
A0328,2024-09-22,15:52,Clear,Dry,East Coast Road,9.30386,78.900089,Severe,2,Signal Violation
A0329,2024-10-05,11:27,Clear,Dry,Ramanathapuram Junction,9.363921,78.839464,Moderate,2,Overtaking
A0330,2025-08-03,11:31,Clear,Dry,East Coast Road,9.300297,78.899783,Moderate,4,Signal Violation
A0331,2024-01-03,08:32,Clear,Potholes,Devipattinam Road,9.47714,78.86718,Minor,2,Distracted Driving
A0332,2024-02-06,08:54,Cloudy,Potholes,Paramakudi Highway,9.545951,78.589185,Minor,2,Signal Violation
A0333,2024-10-04,21:20,Rainy,Dry,Bus Stand Junction,9.366431,78.83416,Minor,1,Weather
A0334,2024-03-11,23:25,Foggy,Potholes,East Coast Road,9.299618,78.902256,Minor,2,Signal Violation
A0335,2024-10-25,00:12,Cloudy,Dry,Market Road,9.361824,78.837837,Moderate,2,Poor Road Condition
A0336,2024-07-19,23:49,Cloudy,Dry,Market Road,9.367669,78.83309,Severe,1,Signal Violation
A0337,2025-10-13,08:22,Rainy,Under Construction,Ramanathapuram Junction,9.363386,78.838943,Severe,3,Speeding
A0338,2024-08-31,06:33,Clear,Under Construction,Rameswaram Road,9.285889,79.310833,Minor,1,Overtaking
A0339,2025-06-16,21:57,Clear,Potholes,Ramanathapuram Junction,9.362234,78.842128,Moderate,3,Poor Road Condition
A0340,2025-02-07,07:52,Clear,Dry,East Coast Road,9.301404,78.901907,Minor,5,Distracted Driving
A0341,2025-02-06,20:59,Cloudy,Wet,Rameswaram Road,9.289083,79.310306,Minor,2,Distracted Driving
A0342,2025-08-21,07:49,Clear,Dry,Kilakarai Main Road,9.230213,78.785734,Minor,2,Distracted Driving
A0343,2025-04-07,22:13,Clear,Dry,Madurai Road Junction,9.363167,78.811069,Severe,1,Speeding
A0344,2024-12-01,03:53,Clear,Wet,Industrial Area Road,9.34964,78.824438,Minor,2,Overtaking
A0345,2024-02-01,09:11,Windy,Potholes,Rameswaram Road,9.289066,79.312666,Minor,2,Poor Road Condition
A0346,2024-05-04,19:08,Clear,Potholes,Devipattinam Road,9.477459,78.869739,Moderate,1,Overtaking
A0347,2024-03-27,18:41,Cloudy,Dry,Madurai Road Junction,9.363378,78.810924,Minor,1,Signal Violation
A0348,2024-12-05,19:05,Clear,Under Construction,Market Road,9.36669,78.835736,Moderate,4,Speeding
A0349,2025-11-30,15:24,Clear,Dry,Bus Stand Junction,9.367989,78.832123,Minor,2,Vehicle Failure
A0350,2025-09-23,02:39,Clear,Dry,Paramakudi Highway,9.547386,78.589723,Minor,2,Distracted Driving
A0351,2024-07-23,12:26,Cloudy,Muddy,Rameswaram Road,9.287216,79.313574,Severe,5,Speeding
A0352,2025-01-02,23:50,Clear,Muddy,Ramanathapuram Junction,9.362843,78.837387,Moderate,2,Distracted Driving
A0353,2025-09-03,08:20,Clear,Potholes,Rameswaram Road,9.285665,79.312909,Fatal,1,Signal Violation
A0354,2024-08-26,11:37,Windy,Dry,East Coast Road,9.298079,78.902632,Moderate,2,Weather
A0355,2025-08-12,19:14,Rainy,Wet,Ramanathapuram Junction,9.360777,78.842045,Minor,3,Vehicle Failure
A0356,2025-12-15,10:47,Clear,Dry,Industrial Area Road,9.350317,78.824855,Moderate,2,Weather
A0357,2025-05-19,16:12,Clear,Dry,Paramakudi Highway,9.545183,78.590599,Severe,1,Speeding
A0358,2024-12-05,16:00,Foggy,Dry,Ramanathapuram Junction,9.363844,78.841155,Severe,3,Speeding
A0359,2025-08-23,04:09,Cloudy,Dry,Madurai Road Junction,9.365171,78.810225,Moderate,2,Speeding
A0360,2025-02-09,12:42,Cloudy,Dry,Devipattinam Road,9.477455,78.867915,Moderate,5,Distracted Driving
A0361,2025-10-26,19:31,Clear,Wet,Bus Stand Junction,9.367962,78.831435,Fatal,4,Drunk Driving
A0362,2024-06-28,08:37,Clear,Wet,Madurai Road Junction,9.362978,78.811115,Minor,1,Speeding
A0363,2025-08-04,12:49,Clear,Wet,Industrial Area Road,9.350256,78.824724,Moderate,5,Overtaking
A0364,2024-05-24,06:31,Clear,Dry,Industrial Area Road,9.350028,78.825521,Moderate,2,Distracted Driving
A0365,2025-10-16,19:42,Cloudy,Dry,Devipattinam Road,9.47719,78.866833,Severe,2,Speeding
A0366,2024-01-02,09:06,Clear,Dry,Madurai Road Junction,9.365294,78.808532,Minor,1,Distracted Driving
A0367,2024-04-13,11:24,Rainy,Wet,Bus Stand Junction,9.368112,78.831446,Moderate,2,Signal Violation
A0368,2024-09-24,10:20,Windy,Dry,Ramanathapuram Junction,9.365444,78.840209,Severe,2,Speeding
A0369,2024-12-12,22:05,Cloudy,Wet,East Coast Road,9.300384,78.901474,Fatal,1,Distracted Driving
A0370,2024-06-09,17:27,Clear,Dry,Paramakudi Highway,9.548498,78.591522,Moderate,2,Overtaking
A0371,2024-10-31,09:18,Clear,Dry,East Coast Road,9.297239,78.898081,Moderate,3,Drunk Driving
A0372,2024-10-28,00:05,Rainy,Wet,Madurai Road Junction,9.364063,78.810039,Fatal,2,Speeding
A0373,2024-11-11,14:07,Rainy,Potholes,Devipattinam Road,9.478776,78.866911,Moderate,3,Drunk Driving
A0374,2024-07-10,20:23,Clear,Dry,Madurai Road Junction,9.36528,78.808867,Minor,2,Distracted Driving
A0375,2025-11-14,07:44,Clear,Wet,Ramanathapuram Junction,9.362983,78.83739,Moderate,2,Signal Violation
A0376,2025-01-31,16:53,Rainy,Wet,Kilakarai Main Road,9.229615,78.782972,Severe,2,Overtaking
A0377,2024-02-05,10:25,Clear,Potholes,Market Road,9.364336,78.83778,Moderate,3,Vehicle Failure
A0378,2024-06-26,22:28,Windy,Dry,Devipattinam Road,9.476576,78.871949,Minor,2,Distracted Driving
A0379,2024-07-25,23:27,Windy,Wet,Devipattinam Road,9.47874,78.868277,Severe,2,Vehicle Failure
A0380,2025-02-10,05:35,Cloudy,Potholes,Devipattinam Road,9.476712,78.86905,Minor,4,Poor Road Condition
A0381,2025-03-05,17:50,Clear,Dry,Industrial Area Road,9.349137,78.825183,Fatal,2,Drunk Driving
A0382,2024-04-13,21:36,Rainy,Potholes,Devipattinam Road,9.48184,78.867856,Severe,2,Overtaking
A0383,2024-06-25,17:02,Clear,Dry,Industrial Area Road,9.351724,78.823945,Minor,3,Poor Road Condition
A0384,2025-05-01,18:03,Windy,Potholes,Madurai Road Junction,9.364948,78.812656,Moderate,3,Speeding
A0385,2025-12-13,20:54,Cloudy,Under Construction,Rameswaram Road,9.28706,79.314719,Moderate,2,Distracted Driving
A0386,2025-09-11,09:26,Cloudy,Dry,Madurai Road Junction,9.366062,78.809156,Severe,3,Speeding
A0387,2024-02-27,20:52,Clear,Dry,East Coast Road,9.300949,78.901459,Minor,2,Distracted Driving
A0388,2024-06-26,20:01,Clear,Potholes,East Coast Road,9.300933,78.897645,Moderate,2,Vehicle Failure
A0389,2025-01-12,18:17,Rainy,Wet,Madurai Road Junction,9.363909,78.809629,Moderate,1,Speeding
A0390,2025-04-30,14:55,Cloudy,Dry,Industrial Area Road,9.349888,78.825931,Severe,4,Speeding
A0391,2024-02-20,09:24,Clear,Dry,Devipattinam Road,9.478267,78.865997,Moderate,3,Overtaking
A0392,2025-06-09,09:26,Clear,Muddy,Kilakarai Main Road,9.23157,78.785916,Severe,1,Signal Violation
A0393,2024-08-17,17:00,Clear,Potholes,Paramakudi Highway,9.54684,78.591621,Severe,5,Poor Road Condition
A0394,2024-12-23,21:54,Clear,Dry,Bus Stand Junction,9.368751,78.834689,Moderate,2,Distracted Driving
A0395,2025-11-09,06:32,Windy,Potholes,Industrial Area Road,9.349895,78.822509,Minor,2,Poor Road Condition
A0396,2024-10-10,15:21,Cloudy,Potholes,Devipattinam Road,9.478644,78.868312,Severe,3,Drunk Driving
A0397,2024-09-03,08:33,Foggy,Potholes,Rameswaram Road,9.288407,79.310085,Moderate,2,Vehicle Failure
A0398,2025-05-24,18:41,Windy,Dry,Paramakudi Highway,9.544378,78.59158,Minor,2,Poor Road Condition
A0399,2024-08-15,19:21,Cloudy,Wet,Industrial Area Road,9.349941,78.826022,Moderate,4,Distracted Driving
A0400,2025-11-04,20:53,Foggy,Dry,Rameswaram Road,9.288042,79.312045,Moderate,1,Speeding
A0401,2025-11-27,19:11,Foggy,Wet,East Coast Road,9.301407,78.899226,Severe,2,Distracted Driving
A0402,2025-01-15,19:21,Clear,Dry,Bus Stand Junction,9.367644,78.833307,Severe,2,Signal Violation
A0403,2024-03-13,16:39,Clear,Dry,Industrial Area Road,9.349348,78.824536,Moderate,3,Speeding
A0404,2024-06-03,04:54,Clear,Dry,Bus Stand Junction,9.367833,78.833282,Severe,2,Distracted Driving
A0405,2024-07-03,07:55,Rainy,Wet,Market Road,9.367684,78.834858,Minor,3,Speeding
A0406,2024-06-21,08:49,Cloudy,Dry,Rameswaram Road,9.28772,79.31134,Minor,3,Signal Violation
A0407,2025-03-15,17:25,Windy,Dry,Bus Stand Junction,9.36967,78.834295,Moderate,2,Speeding
A0408,2025-06-27,21:48,Clear,Wet,Ramanathapuram Junction,9.365448,78.837272,Severe,2,Poor Road Condition
A0409,2025-01-27,10:06,Clear,Dry,Madurai Road Junction,9.365401,78.811334,Fatal,1,Speeding
A0410,2025-06-20,18:38,Clear,Potholes,Market Road,9.365923,78.837798,Severe,2,Overtaking
A0411,2025-02-17,19:10,Clear,Dry,Madurai Road Junction,9.364224,78.812114,Minor,2,Overtaking
A0412,2025-12-29,07:23,Cloudy,Dry,East Coast Road,9.303448,78.899456,Moderate,2,Vehicle Failure
A0413,2025-11-08,17:03,Clear,Potholes,Ramanathapuram Junction,9.363232,78.84168,Moderate,1,Speeding
A0414,2025-12-19,16:30,Clear,Wet,Devipattinam Road,9.480369,78.867216,Moderate,2,Poor Road Condition
A0415,2025-12-18,09:38,Clear,Potholes,East Coast Road,9.29937,78.899577,Minor,3,Speeding
A0416,2024-07-22,19:31,Cloudy,Muddy,Devipattinam Road,9.475983,78.866622,Moderate,5,Signal Violation
A0417,2025-07-15,10:02,Clear,Dry,Bus Stand Junction,9.365994,78.832848,Minor,2,Overtaking
A0418,2025-08-10,21:53,Cloudy,Dry,Devipattinam Road,9.477948,78.868351,Severe,2,Speeding
A0419,2024-08-24,21:41,Clear,Under Construction,Devipattinam Road,9.480326,78.866502,Severe,1,Drunk Driving
A0420,2025-11-24,20:23,Clear,Wet,Ramanathapuram Junction,9.365376,78.839179,Minor,3,Speeding
A0421,2024-12-02,18:10,Clear,Dry,Paramakudi Highway,9.545926,78.591012,Minor,4,Poor Road Condition
A0422,2025-02-13,08:25,Windy,Dry,Madurai Road Junction,9.363316,78.810574,Moderate,3,Poor Road Condition
A0423,2024-03-01,06:44,Windy,Potholes,Paramakudi Highway,9.54625,78.590739,Severe,4,Speeding
A0424,2025-09-17,18:11,Clear,Dry,Industrial Area Road,9.350434,78.828683,Severe,3,Speeding
A0425,2024-04-25,15:31,Foggy,Dry,Paramakudi Highway,9.545043,78.589204,Minor,3,Speeding
A0426,2025-08-01,19:36,Clear,Under Construction,East Coast Road,9.299065,78.899167,Moderate,2,Overtaking
A0427,2024-09-11,06:42,Clear,Wet,Industrial Area Road,9.349044,78.826784,Moderate,1,Poor Road Condition
A0428,2024-06-09,04:41,Clear,Dry,Industrial Area Road,9.352131,78.824144,Moderate,1,Distracted Driving
A0429,2024-02-21,09:17,Clear,Dry,Madurai Road Junction,9.363751,78.810707,Minor,3,Distracted Driving
A0430,2024-03-31,19:28,Rainy,Dry,Market Road,9.364972,78.837149,Minor,3,Weather
A0431,2024-01-01,02:35,Rainy,Under Construction,Bus Stand Junction,9.367804,78.831726,Moderate,4,Poor Road Condition
A0432,2024-02-25,22:23,Rainy,Wet,Market Road,9.368121,78.838894,Severe,2,Signal Violation
A0433,2024-04-09,18:07,Rainy,Wet,Madurai Road Junction,9.364081,78.809418,Moderate,5,Vehicle Failure
A0434,2024-02-16,12:06,Foggy,Dry,East Coast Road,9.300429,78.900502,Minor,3,Vehicle Failure
A0435,2024-05-03,17:12,Windy,Dry,Rameswaram Road,9.288988,79.315015,Moderate,3,Weather
A0436,2025-10-10,19:02,Rainy,Potholes,Devipattinam Road,9.477735,78.866803,Severe,3,Poor Road Condition
A0437,2025-06-27,22:00,Cloudy,Dry,Paramakudi Highway,9.543931,78.588904,Severe,2,Distracted Driving
A0438,2024-05-11,18:11,Clear,Wet,Paramakudi Highway,9.54595,78.592692,Severe,2,Poor Road Condition
A0439,2025-12-10,23:58,Rainy,Under Construction,Bus Stand Junction,9.366724,78.834336,Minor,2,Overtaking
A0440,2025-06-08,17:56,Clear,Wet,Bus Stand Junction,9.367475,78.835783,Severe,3,Vehicle Failure
A0441,2024-10-24,08:39,Cloudy,Under Construction,Kilakarai Main Road,9.23479,78.784204,Fatal,3,Speeding
A0442,2025-10-14,15:44,Clear,Dry,Paramakudi Highway,9.545266,78.591566,Moderate,2,Distracted Driving
A0443,2025-06-30,18:57,Clear,Potholes,Bus Stand Junction,9.368523,78.83677,Minor,2,Vehicle Failure
A0444,2024-07-23,04:03,Clear,Muddy,Paramakudi Highway,9.546876,78.589461,Minor,3,Overtaking
A0445,2024-07-27,18:18,Rainy,Potholes,Ramanathapuram Junction,9.364786,78.841163,Fatal,4,Speeding
A0446,2025-02-02,18:35,Clear,Muddy,Kilakarai Main Road,9.232231,78.785761,Moderate,2,Signal Violation
A0447,2025-12-02,12:50,Clear,Dry,Bus Stand Junction,9.3691,78.835754,Severe,2,Speeding
A0448,2025-10-10,20:58,Cloudy,Wet,Market Road,9.367873,78.837173,Moderate,2,Signal Violation
A0449,2025-11-30,10:11,Clear,Under Construction,Kilakarai Main Road,9.230749,78.78522,Minor,1,Signal Violation
A0450,2024-06-13,16:08,Cloudy,Dry,Rameswaram Road,9.28981,79.310775,Minor,3,Distracted Driving
A0451,2024-02-22,21:38,Rainy,Potholes,Paramakudi Highway,9.546553,78.58941,Moderate,3,Poor Road Condition
A0452,2025-06-22,19:20,Clear,Dry,Devipattinam Road,9.478043,78.869918,Moderate,2,Speeding
A0453,2024-08-14,13:22,Foggy,Wet,East Coast Road,9.300287,78.90007,Fatal,2,Drunk Driving
A0454,2025-10-26,16:35,Clear,Wet,Industrial Area Road,9.34796,78.826119,Severe,4,Distracted Driving
A0455,2025-11-29,09:02,Foggy,Dry,Industrial Area Road,9.350968,78.828245,Minor,1,Vehicle Failure
A0456,2025-01-18,01:33,Clear,Dry,Rameswaram Road,9.287538,79.312329,Moderate,2,Distracted Driving
A0457,2024-06-20,15:06,Windy,Muddy,Madurai Road Junction,9.365374,78.812366,Minor,2,Weather
A0458,2024-04-16,20:27,Clear,Potholes,Kilakarai Main Road,9.230857,78.785419,Minor,3,Overtaking
A0459,2024-01-25,18:09,Clear,Dry,Devipattinam Road,9.478912,78.86828,Severe,1,Speeding
A0460,2024-08-21,05:52,Foggy,Dry,East Coast Road,9.29933,78.900291,Minor,2,Weather
A0461,2024-01-07,18:34,Cloudy,Wet,Bus Stand Junction,9.36911,78.83246,Moderate,2,Signal Violation
A0462,2024-04-18,11:32,Clear,Wet,Devipattinam Road,9.478199,78.86695,Severe,2,Poor Road Condition
A0463,2024-02-01,12:42,Clear,Dry,Bus Stand Junction,9.369293,78.831715,Severe,2,Speeding
A0464,2024-05-27,10:40,Clear,Potholes,East Coast Road,9.299162,78.900566,Severe,4,Overtaking
A0465,2024-05-24,16:35,Clear,Dry,Ramanathapuram Junction,9.366248,78.839401,Fatal,2,Drunk Driving
A0466,2024-12-18,08:47,Clear,Potholes,Rameswaram Road,9.287167,79.314822,Minor,1,Vehicle Failure
A0467,2024-04-27,20:12,Clear,Muddy,Industrial Area Road,9.347828,78.821702,Severe,3,Signal Violation
A0468,2024-03-15,14:35,Clear,Dry,East Coast Road,9.30066,78.899247,Moderate,3,Speeding
A0469,2025-11-02,11:42,Clear,Dry,Madurai Road Junction,9.363468,78.811063,Moderate,2,Speeding
A0470,2025-12-11,17:19,Cloudy,Dry,Madurai Road Junction,9.365366,78.809154,Minor,2,Distracted Driving
A0471,2024-08-14,10:50,Cloudy,Wet,Ramanathapuram Junction,9.36198,78.840809,Severe,2,Speeding
A0472,2025-04-01,20:29,Clear,Dry,Madurai Road Junction,9.365975,78.809851,Severe,1,Drunk Driving
A0473,2025-07-05,20:08,Clear,Wet,Rameswaram Road,9.29077,79.310395,Severe,3,Poor Road Condition
A0474,2025-08-18,17:52,Cloudy,Muddy,East Coast Road,9.297712,78.898962,Moderate,1,Speeding
A0475,2024-06-01,14:49,Clear,Dry,East Coast Road,9.299932,78.900365,Minor,3,Signal Violation
A0476,2025-02-10,15:05,Clear,Dry,Market Road,9.365438,78.836728,Fatal,5,Speeding
A0477,2025-04-01,19:08,Clear,Dry,Paramakudi Highway,9.544123,78.592166,Minor,4,Drunk Driving
A0478,2024-08-12,22:02,Rainy,Wet,Market Road,9.365677,78.837876,Moderate,3,Distracted Driving
A0479,2025-04-10,12:58,Foggy,Dry,Madurai Road Junction,9.365514,78.810685,Severe,1,Weather
A0480,2025-08-15,20:16,Clear,Dry,Rameswaram Road,9.288855,79.312672,Moderate,2,Poor Road Condition
A0481,2024-08-16,15:24,Clear,Dry,Devipattinam Road,9.478964,78.869994,Moderate,2,Vehicle Failure
A0482,2024-05-22,00:56,Clear,Dry,Industrial Area Road,9.350295,78.826064,Minor,2,Distracted Driving
A0483,2024-05-01,11:45,Cloudy,Dry,Paramakudi Highway,9.545865,78.59216,Moderate,1,Distracted Driving
A0484,2025-10-24,08:10,Rainy,Dry,Market Road,9.364785,78.838901,Moderate,1,Weather
A0485,2024-02-27,21:09,Clear,Under Construction,Ramanathapuram Junction,9.36384,78.837354,Severe,2,Poor Road Condition
A0486,2025-11-08,20:46,Rainy,Wet,Ramanathapuram Junction,9.364092,78.838478,Moderate,2,Weather
A0487,2024-05-26,20:38,Rainy,Dry,Kilakarai Main Road,9.232261,78.784021,Moderate,2,Weather
A0488,2025-08-27,21:38,Clear,Dry,Madurai Road Junction,9.364331,78.807166,Moderate,1,Speeding
A0489,2024-06-02,18:52,Cloudy,Dry,East Coast Road,9.299322,78.896364,Severe,2,Vehicle Failure
A0490,2024-04-05,15:07,Clear,Dry,East Coast Road,9.297624,78.901141,Severe,3,Poor Road Condition
A0491,2024-02-14,15:23,Cloudy,Dry,Bus Stand Junction,9.368679,78.834638,Moderate,2,Overtaking
A0492,2025-12-14,17:47,Cloudy,Dry,Madurai Road Junction,9.36355,78.809928,Severe,3,Speeding
A0493,2025-07-10,09:56,Clear,Dry,Devipattinam Road,9.477995,78.866262,Moderate,3,Weather
